"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.131512000E-2,5.267243832E-2,-3.220201433E-1,1.027591324E1,1.028109256E1
4.382100600E-2,3.830722719E-2,-3.124433160E-1,1.045787334E1,1.046260977E1
4.632814100E-2,5.267243832E-2,-3.172317147E-1,1.028070164E1,1.028572975E1
4.883715200E-2,6.703764945E-2,-3.172317147E-1,1.012747288E1,1.013266189E1
5.134861000E-2,8.140286058E-2,-3.172317147E-1,1.004128170E1,1.004662135E1
5.386293300E-2,1.053448766E-1,-3.220201433E-1,1.000297451E1,1.000871088E1
5.638043300E-2,1.340752989E-1,-3.363853395E-1,9.983820915E0,9.990385946E0
5.890126600E-2,1.484405100E-1,-3.507505357E-1,9.964667320E0,9.971943408E0
6.142543300E-2,1.436520964E-1,-3.555389643E-1,9.907206535E0,9.914624815E0
6.395282900E-2,1.340752989E-1,-3.507505357E-1,9.840168953E0,9.847330966E0
6.648324500E-2,1.197100878E-1,-3.315969408E-1,9.758766174E0,9.765132067E0
6.901631800E-2,1.005564705E-1,-3.268085420E-1,9.686940193E0,9.692973008E0
7.155157900E-2,8.619125932E-2,-3.315969408E-1,9.639056206E0,9.645143338E0
7.408855800E-2,7.182604820E-2,-3.363853395E-1,9.648633003E0,9.654762188E0
7.662668300E-2,6.224924326E-2,-3.411737382E-1,9.682151794E0,9.688360948E0
7.916538100E-2,4.788403213E-2,-3.363853395E-1,9.734824181E0,9.740752014E0
8.170137000E-2,3.830722719E-2,-3.315969408E-1,9.806650162E0,9.812329559E0
8.422892200E-2,4.788403213E-2,-3.363853395E-1,9.854534149E0,9.860390016E0
8.675361000E-2,6.224924326E-2,-3.507505357E-1,9.854534149E0,9.860970754E0
8.928371400E-2,6.703764945E-2,-3.507505357E-1,9.816226959E0,9.822720178E0
9.180303700E-2,7.661445439E-2,-3.459621370E-1,9.744400978E0,9.750841502E0
9.432256800E-2,8.619125932E-2,-3.411737382E-1,9.643844604E0,9.650262546E0
9.684246400E-2,1.101332754E-1,-3.268085420E-1,9.552865028E0,9.559088001E0
9.936293300E-2,1.292868853E-1,-3.220201433E-1,9.490615845E0,9.496957470E0
1.018841310E-1,1.197100878E-1,-3.220201433E-1,9.476250648E0,9.482476144E0
1.044061620E-1,1.197100878E-1,-3.315969408E-1,9.509769440E0,9.516301899E0
1.069290790E-1,1.388636976E-1,-3.363853395E-1,9.586383820E0,9.593288954E0
1.094529330E-1,1.436520964E-1,-3.411737382E-1,9.672574997E0,9.679656116E0
1.119777240E-1,1.340752989E-1,-3.507505357E-1,9.777919769E0,9.785127344E0
1.145034020E-1,1.197100878E-1,-3.507505357E-1,9.892841339E0,9.899781119E0
1.170299120E-1,1.053448766E-1,-3.507505357E-1,9.979032516E0,9.985750520E0
1.195571520E-1,7.661445439E-2,-3.507505357E-1,1.004607010E1,1.005248328E1
1.220849640E-1,5.746084079E-2,-3.363853395E-1,1.008916569E1,1.009493542E1
1.246131930E-1,6.703764945E-2,-3.172317147E-1,1.013226128E1,1.013744783E1
1.271416830E-1,7.661445439E-2,-3.268085420E-1,1.016578007E1,1.017132037E1
1.296702770E-1,5.746084079E-2,-3.411737382E-1,1.017056847E1,1.017645145E1
1.321985060E-1,4.309562966E-2,-3.651157618E-1,1.016578007E1,1.017242602E1
1.347232450E-1,4.788403213E-2,-3.603273630E-1,1.016099167E1,1.016749135E1
1.372479330E-1,5.746084079E-2,-3.411737382E-1,1.012268448E1,1.012859528E1
1.397699120E-1,6.703764945E-2,-3.411737382E-1,1.005085850E1,1.005687079E1
1.422920990E-1,8.619125932E-2,-3.459621370E-1,9.950302124E0,9.956687757E0
1.448145990E-1,9.576806426E-2,-3.363853395E-1,9.849745750E0,9.855953428E0
1.473374640E-1,8.140286058E-2,-3.268085420E-1,9.749189377E0,9.755005062E0
1.498607450E-1,9.097966552E-2,-3.363853395E-1,9.662998199E0,9.669279528E0
1.523844950E-1,1.053448766E-1,-3.363853395E-1,9.610325813E0,9.616788179E0
1.549087140E-1,1.053448766E-1,-3.268085420E-1,9.605537415E0,9.611672611E0
1.574334020E-1,1.005564705E-1,-3.315969408E-1,9.629479408E0,9.635711796E0
1.599585580E-1,8.619125932E-2,-3.411737382E-1,9.667786598E0,9.674188656E0
1.624841310E-1,7.661445439E-2,-3.459621370E-1,9.710882187E0,9.717344927E0
1.650100680E-1,8.619125932E-2,-3.459621370E-1,9.758766174E0,9.765277056E0
1.675363180E-1,8.140286058E-2,-3.411737382E-1,9.787496567E0,9.793779403E0
1.700628290E-1,7.661445439E-2,-3.315969408E-1,9.806650162E0,9.812553883E0
1.725894950E-1,8.140286058E-2,-3.315969408E-1,9.825803757E0,9.831734456E0
1.751162140E-1,8.619125932E-2,-3.459621370E-1,9.821015358E0,9.827484998E0
1.776483490E-1,8.619125932E-2,-3.555389643E-1,9.816226959E0,9.823041718E0
1.801680890E-1,8.619125932E-2,-3.507505357E-1,9.806650162E0,9.813299255E0
1.826879850E-1,9.576806426E-2,-3.363853395E-1,9.821015358E0,9.827241184E0
1.852082450E-1,1.005564705E-1,-3.315969408E-1,9.840168953E0,9.846267981E0
1.877290270E-1,1.005564705E-1,-3.363853395E-1,9.854534149E0,9.860786480E0
1.902504850E-1,1.101332754E-1,-3.363853395E-1,9.844957352E0,9.851318170E0
1.927727240E-1,1.197100878E-1,-3.411737382E-1,9.844957352E0,9.851594555E0
1.952957970E-1,1.149216816E-1,-3.315969408E-1,9.859322548E0,9.865566615E0
1.978197560E-1,1.053448766E-1,-3.315969408E-1,9.854534149E0,9.860674286E0
2.003445990E-1,1.005564705E-1,-3.268085420E-1,9.873687744E0,9.879606525E0
2.028702770E-1,1.005564705E-1,-3.220201433E-1,9.911994934E0,9.917734225E0
2.053966830E-1,9.097966552E-2,-3.315969408E-1,9.945513725E0,9.951456029E0
2.079237140E-1,6.703764945E-2,-3.315969408E-1,9.969455719E0,9.975194129E0
2.104512660E-1,7.661445439E-2,-3.268085420E-1,9.998186111E0,1.000381923E1
2.129792350E-1,9.097966552E-2,-3.315969408E-1,1.002212811E1,1.002802501E1
2.155074640E-1,8.619125932E-2,-3.411737382E-1,1.001733971E1,1.002351851E1
2.180357970E-1,6.703764945E-2,-3.411737382E-1,1.001733971E1,1.002337211E1
2.205635580E-1,6.224924326E-2,-3.411737382E-1,9.988609314E0,9.994628083E0
2.230882970E-1,7.182604820E-2,-3.363853395E-1,9.931148529E0,9.937103460E0
2.256129850E-1,8.619125932E-2,-3.268085420E-1,9.873687744E0,9.879470756E0
2.281349640E-1,8.619125932E-2,-3.315969408E-1,9.816226959E0,9.822204293E0
2.306571520E-1,9.097966552E-2,-3.363853395E-1,9.782708168E0,9.788912682E0
2.331796520E-1,1.005564705E-1,-3.411737382E-1,9.753977776E0,9.760460725E0
2.357025160E-1,1.053448766E-1,-3.411737382E-1,9.720458984E0,9.727014955E0
2.382257970E-1,1.149216816E-1,-3.411737382E-1,9.715670586E0,9.722338270E0
2.407495470E-1,1.053448766E-1,-3.411737382E-1,9.701305389E0,9.707874295E0
2.432737660E-1,9.097966552E-2,-3.268085420E-1,9.691728592E0,9.697663854E0
2.457984540E-1,9.097966552E-2,-3.363853395E-1,9.710882187E0,9.717132563E0
2.483236100E-1,1.005564705E-1,-3.459621370E-1,9.744400978E0,9.751059010E0
2.508491830E-1,1.005564705E-1,-3.459621370E-1,9.777919769E0,9.784554993E0
2.533751200E-1,8.619125932E-2,-3.411737382E-1,9.801861763E0,9.808176307E0
2.559013700E-1,7.661445439E-2,-3.507505357E-1,9.840168953E0,9.846716241E0
2.584278810E-1,6.703764945E-2,-3.603273630E-1,9.878476143E0,9.885272923E0
2.609545470E-1,6.224924326E-2,-3.651157618E-1,9.907206535E0,9.914127588E0
2.634812660E-1,6.703764945E-2,-3.555389643E-1,9.931148529E0,9.937736820E0
2.660134020E-1,7.182604820E-2,-3.507505357E-1,9.950302124E0,9.956741298E0
2.685331410E-1,6.224924326E-2,-3.507505357E-1,9.964667320E0,9.971032831E0
2.710530370E-1,6.224924326E-2,-3.411737382E-1,9.945513725E0,9.951558559E0
2.735732970E-1,7.661445439E-2,-3.507505357E-1,9.916783333E0,9.923280072E0
2.760940790E-1,8.140286058E-2,-3.555389643E-1,9.897629738E0,9.904347975E0
2.786155370E-1,7.182604820E-2,-3.459621370E-1,9.873687744E0,9.880008019E0
2.811377770E-1,7.182604820E-2,-3.268085420E-1,9.868899345E0,9.874570223E0
2.836608490E-1,7.661445439E-2,-3.220201433E-1,9.864110947E0,9.869663192E0
2.861848080E-1,8.619125932E-2,-3.411737382E-1,9.878476143E0,9.884741745E0
2.887096520E-1,9.097966552E-2,-3.411737382E-1,9.892841339E0,9.899140699E0
