"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.092880230E-1,6.224924326E-2,-3.172317147E-1,9.950302124E0,9.955552385E0
2.118112000E-1,6.224924326E-2,-3.172317147E-1,9.931148529E0,9.936408910E0
2.143352110E-1,5.746084079E-2,-3.124433160E-1,9.907206535E0,9.912298619E0
2.168600540E-1,6.703764945E-2,-3.124433160E-1,9.892841339E0,9.898001042E0
2.193856790E-1,7.661445439E-2,-3.268085420E-1,9.864110947E0,9.869820584E0
2.219120340E-1,7.182604820E-2,-3.315969408E-1,9.840168953E0,9.846016481E0
2.244390130E-1,7.182604820E-2,-3.315969408E-1,9.821015358E0,9.826874283E0
2.269665130E-1,7.182604820E-2,-3.220201433E-1,9.797073364E0,9.802627324E0
2.294943770E-1,6.703764945E-2,-3.220201433E-1,9.806650162E0,9.812164818E0
2.320224500E-1,6.703764945E-2,-3.363853395E-1,9.816226959E0,9.822217716E0
2.345506270E-1,7.182604820E-2,-3.315969408E-1,9.806650162E0,9.812517664E0
2.370781270E-1,8.140286058E-2,-3.220201433E-1,9.821015358E0,9.826630453E0
2.396028670E-1,7.182604820E-2,-3.172317147E-1,9.840168953E0,9.845543152E0
2.421248980E-1,6.703764945E-2,-3.172317147E-1,9.859322548E0,9.864652610E0
2.446471380E-1,6.703764945E-2,-3.315969408E-1,9.864110947E0,9.869910605E0
2.471696380E-1,6.703764945E-2,-3.220201433E-1,9.864110947E0,9.869593497E0
2.496925020E-1,6.224924326E-2,-3.220201433E-1,9.873687744E0,9.879133647E0
2.522157840E-1,5.746084079E-2,-3.315969408E-1,9.878476143E0,9.884207059E0
2.547395340E-1,6.224924326E-2,-3.268085420E-1,9.873687744E0,9.879290889E0
2.572637520E-1,6.703764945E-2,-3.172317147E-1,9.849745750E0,9.855080992E0
2.597884400E-1,7.182604820E-2,-3.172317147E-1,9.830592155E0,9.835971587E0
2.623135960E-1,7.661445439E-2,-3.172317147E-1,9.825803757E0,9.831221959E0
2.648391690E-1,7.661445439E-2,-3.172317147E-1,9.821015358E0,9.826436200E0
2.673651070E-1,7.661445439E-2,-3.124433160E-1,9.801861763E0,9.807139472E0
2.698913570E-1,8.140286058E-2,-3.172317147E-1,9.782708168E0,9.788188877E0
2.724178670E-1,7.182604820E-2,-3.172317147E-1,9.777919769E0,9.783328164E0
2.749445340E-1,5.267243832E-2,-3.268085420E-1,9.787496567E0,9.793092834E0
2.774713040E-1,6.224924326E-2,-3.363853395E-1,9.787496567E0,9.793473291E0
2.800034920E-1,7.661445439E-2,-3.220201433E-1,9.792284966E0,9.797877913E0
2.825234920E-1,7.182604820E-2,-3.220201433E-1,9.816226959E0,9.821770088E0
2.850436480E-1,7.182604820E-2,-3.268085420E-1,9.821015358E0,9.826713869E0
2.875641690E-1,6.224924326E-2,-3.268085420E-1,9.825803757E0,9.831434191E0
2.900852110E-1,4.788403213E-2,-3.220201433E-1,9.849745750E0,9.855124616E0
2.926068770E-1,5.267243832E-2,-3.220201433E-1,9.868899345E0,9.874292159E0
2.951292730E-1,5.267243832E-2,-3.172317147E-1,9.878476143E0,9.883708881E0
2.976524500E-1,4.788403213E-2,-3.172317147E-1,9.873687744E0,9.878898649E0
3.001764610E-1,5.267243832E-2,-3.124433160E-1,9.873687744E0,9.878770413E0
3.027013040E-1,5.746084079E-2,-3.220201433E-1,9.883264542E0,9.888676186E0
3.052269290E-1,6.703764945E-2,-3.315969408E-1,9.888052940E0,9.893838564E0
3.077532840E-1,6.224924326E-2,-3.315969408E-1,9.873687744E0,9.879450449E0
3.102802630E-1,6.224924326E-2,-3.268085420E-1,9.840168953E0,9.845791173E0
3.128077630E-1,6.703764945E-2,-3.124433160E-1,9.825803757E0,9.830998644E0
3.153356270E-1,7.182604820E-2,-3.220201433E-1,9.825803757E0,9.831341486E0
3.178637000E-1,7.661445439E-2,-3.315969408E-1,9.821015358E0,9.826910449E0
3.203918770E-1,7.182604820E-2,-3.315969408E-1,9.806650162E0,9.812517664E0
3.229193770E-1,7.182604820E-2,-3.220201433E-1,9.811438560E0,9.816984393E0
3.254441690E-1,6.703764945E-2,-3.124433160E-1,9.806650162E0,9.811855190E0
3.279689090E-1,6.224924326E-2,-3.172317147E-1,9.801861763E0,9.807191491E0
3.304909400E-1,6.224924326E-2,-3.076549172E-1,9.816226959E0,9.821244230E0
3.330131790E-1,7.182604820E-2,-3.124433160E-1,9.830592155E0,9.835818315E0
3.355356790E-1,7.182604820E-2,-3.124433160E-1,9.840168953E0,9.845390029E0
3.380585440E-1,5.746084079E-2,-3.076549172E-1,9.854534149E0,9.859502857E0
3.405818250E-1,6.224924326E-2,-3.124433160E-1,9.864110947E0,9.869254306E0
3.431055750E-1,6.224924326E-2,-3.220201433E-1,9.873687744E0,9.879133647E0
3.456297940E-1,5.746084079E-2,-3.172317147E-1,9.902418137E0,9.907664844E0
3.481544820E-1,6.224924326E-2,-3.172317147E-1,9.921571732E0,9.926837188E0
3.506796380E-1,5.746084079E-2,-3.220201433E-1,9.921571732E0,9.926962493E0
3.532052110E-1,6.224924326E-2,-3.220201433E-1,9.916783333E0,9.922205582E0
3.557311480E-1,6.224924326E-2,-3.172317147E-1,9.911994934E0,9.917265475E0
3.582573980E-1,7.182604820E-2,-3.220201433E-1,9.916783333E0,9.922270286E0
3.607839090E-1,7.661445439E-2,-3.268085420E-1,9.907206535E0,9.912891351E0
3.633105750E-1,7.182604820E-2,-3.220201433E-1,9.888052940E0,9.893555827E0
3.658373460E-1,7.661445439E-2,-3.172317147E-1,9.883264542E0,9.888651260E0
3.683695340E-1,7.182604820E-2,-3.124433160E-1,9.864110947E0,9.869319357E0
3.708895340E-1,7.661445439E-2,-3.124433160E-1,9.854534149E0,9.859783664E0
3.734096900E-1,7.182604820E-2,-3.076549172E-1,9.844957352E0,9.850025167E0
3.759302110E-1,7.182604820E-2,-3.124433160E-1,9.844957352E0,9.850175890E0
3.784512520E-1,7.661445439E-2,-3.268085420E-1,9.840168953E0,9.845892475E0
3.809729190E-1,8.619125932E-2,-3.268085420E-1,9.835380554E0,9.841186077E0
3.834953150E-1,8.140286058E-2,-3.220201433E-1,9.835380554E0,9.840987453E0
3.860184920E-1,7.661445439E-2,-3.172317147E-1,9.816226959E0,9.821650444E0
3.885425020E-1,7.661445439E-2,-3.220201433E-1,9.821015358E0,9.826591953E0
3.910673460E-1,7.182604820E-2,-3.220201433E-1,9.835380554E0,9.840912895E0
3.935929710E-1,7.182604820E-2,-3.124433160E-1,9.835380554E0,9.840604171E0
3.961193250E-1,7.182604820E-2,-3.172317147E-1,9.821015358E0,9.826400033E0
3.986463040E-1,6.703764945E-2,-3.220201433E-1,9.816226959E0,9.821736238E0
4.011738040E-1,6.224924326E-2,-3.172317147E-1,9.835380554E0,9.840692129E0
4.037016690E-1,6.224924326E-2,-3.124433160E-1,9.849745750E0,9.854896607E0
4.062297420E-1,5.746084079E-2,-3.315969408E-1,9.835380554E0,9.841136567E0
4.087579190E-1,6.703764945E-2,-3.315969408E-1,9.825803757E0,9.831626012E0
4.112854190E-1,7.182604820E-2,-3.124433160E-1,9.825803757E0,9.831032462E0
4.138101590E-1,6.224924326E-2,-3.076549172E-1,9.825803757E0,9.830816140E0
4.163321900E-1,5.746084079E-2,-3.076549172E-1,9.821015358E0,9.826001016E0
4.188544290E-1,7.182604820E-2,-3.172317147E-1,9.811438560E0,9.816828488E0
4.213769290E-1,7.182604820E-2,-3.220201433E-1,9.811438560E0,9.816984393E0
4.238997940E-1,6.703764945E-2,-3.172317147E-1,9.816226959E0,9.821580409E0
4.264230750E-1,5.267243832E-2,-3.076549172E-1,9.811438560E0,9.816402221E0
4.289468250E-1,9.576806799E-3,-2.932897210E-1,9.844957352E0,9.849329715E0
4.314710440E-1,3.351882473E-2,-3.890577853E-1,9.849745750E0,9.857483493E0
4.339957320E-1,1.292868853E-1,-3.938461840E-1,9.816226959E0,9.824975401E0
4.365208880E-1,1.244984865E-1,-3.315969408E-1,9.758766174E0,9.765191941E0
4.390464610E-1,6.224924326E-2,-3.363853395E-1,9.667786598E0,9.673837283E0
4.415723980E-1,1.436521020E-2,-2.597708702E-1,9.662998199E0,9.666499960E0
4.440986480E-1,7.661445439E-2,-2.501940727E-1,9.734824181E0,9.738340140E0
4.466251590E-1,9.097966552E-2,-2.980781198E-1,9.840168953E0,9.845102990E0
4.491518250E-1,2.394201607E-2,-3.651157618E-1,9.921571732E0,9.928316492E0
4.516785960E-1,-0.000000000E0,-3.555389643E-1,1.001255131E1,1.001886179E1
4.542107840E-1,3.830722719E-2,-3.124433160E-1,1.007958889E1,1.008450299E1
4.567307840E-1,9.576806426E-2,-3.076549172E-1,1.006043530E1,1.006559394E1
4.592509400E-1,5.746084079E-2,-2.837128937E-1,9.974244118E0,9.978443790E0
4.617714610E-1,9.576806799E-3,-2.885012925E-1,9.849745750E0,9.853974633E0
4.642925020E-1,-3.351882473E-2,-2.885012925E-1,9.797073364E0,9.801377608E0
4.668141690E-1,-5.267243832E-2,-3.363853395E-1,9.792284966E0,9.798202607E0
4.693365650E-1,-1.436521020E-2,-4.225766063E-1,9.768342972E0,9.777489543E0
4.718597420E-1,5.746084079E-2,-4.273650050E-1,9.749189377E0,9.758721028E0
4.743837520E-1,1.580173075E-1,-3.842693865E-1,9.710882187E0,9.719766730E0
4.769085960E-1,2.202665508E-1,-3.172317147E-1,9.662998199E0,9.670712875E0
4.794342210E-1,1.675941199E-1,-2.454056740E-1,9.639056206E0,9.643636050E0
4.819605750E-1,7.661445439E-2,-2.070984542E-1,9.672574997E0,9.675095173E0
4.844875540E-1,6.703764945E-2,-2.214636505E-1,9.797073364E0,9.799805442E0
4.870150540E-1,1.197100878E-1,-2.597708702E-1,9.950302124E0,9.954412276E0
4.895429190E-1,1.628057212E-1,-2.980781198E-1,1.006043530E1,1.006616683E1
4.920709920E-1,1.197100878E-1,-3.363853395E-1,1.011310768E1,1.011940871E1
4.945991690E-1,6.703764945E-2,-3.603273630E-1,1.008916569E1,1.009582063E1
4.971266690E-1,9.097966552E-2,-3.794809580E-1,1.000297451E1,1.001058351E1
4.996514090E-1,1.053448766E-1,-3.363853395E-1,9.907206535E0,9.913475373E0
5.021734400E-1,8.619125932E-2,-2.932897210E-1,9.816226959E0,9.820985669E0
5.046956790E-1,7.182604820E-2,-2.885012925E-1,9.773131371E0,9.777652518E0
5.072181790E-1,5.746084079E-2,-2.980781198E-1,9.811438560E0,9.816133604E0
5.097410440E-1,4.788403213E-2,-3.124433160E-1,9.921571732E0,9.926605630E0
5.122643250E-1,3.351882473E-2,-3.172317147E-1,1.005085850E1,1.005591945E1
5.147880750E-1,2.394201607E-2,-3.268085420E-1,1.017056847E1,1.017584591E1
5.173122940E-1,2.394201607E-2,-3.411737382E-1,1.022324085E1,1.022896018E1
5.198369820E-1,2.394201607E-2,-3.555389643E-1,1.016099167E1,1.016723821E1
5.223621380E-1,2.873042040E-2,-3.507505357E-1,1.001733971E1,1.002351965E1
5.248877110E-1,2.873042040E-2,-3.268085420E-1,9.821015358E0,9.826493369E0
5.274136480E-1,2.873042040E-2,-3.028665185E-1,9.624691010E0,9.629497941E0
5.299398980E-1,5.267243832E-2,-2.837128937E-1,9.490615845E0,9.495001659E0
5.324664090E-1,7.182604820E-2,-2.837128937E-1,9.418789864E0,9.423335635E0
5.349930750E-1,8.140286058E-2,-3.028665185E-1,9.418789864E0,9.424009606E0
5.375198460E-1,9.576806426E-2,-3.220201433E-1,9.485827446E0,9.491774904E0
5.400520340E-1,1.053448766E-1,-3.411737382E-1,9.586383820E0,9.593031419E0
5.425720340E-1,1.149216816E-1,-3.555389643E-1,9.691728592E0,9.698928706E0
5.450921900E-1,1.101332754E-1,-3.555389643E-1,9.739612579E0,9.746722038E0
5.476127110E-1,9.097966552E-2,-3.507505357E-1,9.749189377E0,9.755921112E0
5.501337520E-1,7.182604820E-2,-3.363853395E-1,9.715670586E0,9.721757506E0
5.526554190E-1,7.661445439E-2,-3.220201433E-1,9.682151794E0,9.687808324E0
5.551778150E-1,8.140286058E-2,-2.980781198E-1,9.677363396E0,9.682295145E0
5.577009920E-1,7.182604820E-2,-2.789244950E-1,9.706093788E0,9.710366341E0
5.602250020E-1,5.746084079E-2,-2.789244950E-1,9.797073364E0,9.801211513E0
5.627498460E-1,5.267243832E-2,-2.980781198E-1,9.921571732E0,9.926188119E0
5.652754710E-1,6.224924326E-2,-3.172317147E-1,1.005085850E1,1.005605626E1
5.678018250E-1,5.267243832E-2,-3.220201433E-1,1.016099167E1,1.016622954E1
5.703288040E-1,3.830722719E-2,-3.363853395E-1,1.022802925E1,1.023363107E1
5.728563040E-1,1.915361360E-2,-3.315969408E-1,1.023281765E1,1.023820690E1
5.753841690E-1,3.351882473E-2,-3.172317147E-1,1.017056847E1,1.017556988E1
5.779122420E-1,6.224924326E-2,-3.076549172E-1,1.006522369E1,1.007011691E1
5.804404190E-1,5.746084079E-2,-3.076549172E-1,9.955090523E0,9.960009067E0
5.829679190E-1,4.788403213E-2,-3.172317147E-1,9.849745750E0,9.854969314E0
5.854927110E-1,3.351882473E-2,-3.076549172E-1,9.792284966E0,9.797174078E0
5.880174500E-1,3.351882473E-2,-2.837128937E-1,9.763554573E0,9.767733331E0
5.905394820E-1,3.830722719E-2,-2.837128937E-1,9.758766174E0,9.762964596E0
5.930617210E-1,2.873042040E-2,-3.076549172E-1,9.753977776E0,9.758870807E0
5.955842210E-1,8.140286058E-2,-4.034229815E-1,9.710882187E0,9.719599239E0
5.981070860E-1,1.340752989E-1,-4.417302012E-1,9.605537415E0,9.616623668E0
6.006303670E-1,8.619125932E-2,-3.363853395E-1,9.452308655E0,9.458685053E0
6.031541170E-1,3.351882473E-2,-2.549824715E-1,9.399636269E0,9.403153809E0
6.056783360E-1,4.309562966E-2,-2.166752517E-1,9.485827446E0,9.488399640E0
6.082030230E-1,6.224924326E-2,-2.262520641E-1,9.610325813E0,9.613190272E0
6.107281790E-1,4.309562966E-2,-2.645592988E-1,9.734824181E0,9.738513782E0
6.132537520E-1,2.873042040E-2,-3.076549172E-1,9.835380554E0,9.840233109E0
6.157796900E-1,5.267243832E-2,-3.363853395E-1,9.878476143E0,9.884342183E0
6.183059400E-1,6.703764945E-2,-3.220201433E-1,9.864110947E0,9.869593497E0
6.208324500E-1,6.224924326E-2,-2.885012925E-1,9.806650162E0,9.811090427E0
6.233591170E-1,6.703764945E-2,-2.645592988E-1,9.768342972E0,9.772154833E0
6.258858880E-1,9.576806426E-2,-2.549824715E-1,9.773131371E0,9.776926121E0
6.284180750E-1,1.149216816E-1,-2.597708702E-1,9.825803757E0,9.829908818E0
6.309380750E-1,1.292868853E-1,-2.932897210E-1,9.931148529E0,9.936319493E0
6.334582320E-1,1.628057212E-1,-3.268085420E-1,1.006043530E1,1.006705855E1
6.359787520E-1,2.059013397E-1,-3.507505357E-1,1.018493366E1,1.019305131E1
6.384997940E-1,2.059013397E-1,-3.651157618E-1,1.027112484E1,1.027967462E1
6.410214610E-1,1.723825186E-1,-3.603273630E-1,1.030464458E1,1.031238341E1
6.435438570E-1,1.484405100E-1,-3.603273630E-1,1.027112484E1,1.027851526E1
6.460670340E-1,1.436520964E-1,-3.603273630E-1,1.019451046E1,1.020188783E1
6.485910440E-1,1.292868853E-1,-3.555389643E-1,1.011789608E1,1.012496638E1
6.511158880E-1,1.101332754E-1,-3.459621370E-1,1.004128170E1,1.004784342E1
6.536415130E-1,9.576806426E-2,-3.363853395E-1,9.993397713E0,9.999516211E0
6.561678670E-1,7.182604820E-2,-3.363853395E-1,9.964667320E0,9.970602233E0
