"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.351985420E-1,4.044000059E-3,1.059699990E-2,-4.170199856E-2,4.321697615E-2
4.401945440E-1,6.266999990E-3,2.681999933E-3,-4.651299864E-2,4.700986551E-2
4.451907730E-1,5.805000197E-3,2.642000094E-3,-5.849299952E-2,5.883969056E-2
4.501867670E-1,-1.784999971E-3,2.635000041E-3,-5.370999873E-2,5.380421371E-2
4.551828420E-1,3.135999897E-3,2.615999896E-3,-4.173899814E-2,4.193831085E-2
4.601790490E-1,7.621999830E-3,7.000000187E-5,-5.132099986E-2,5.188395521E-2
4.651750510E-1,2.256999956E-3,-4.519999959E-3,-5.132500082E-2,5.157305651E-2
4.701711300E-1,2.141000004E-3,-1.534000039E-3,-4.652300104E-2,4.659749632E-2
4.751673610E-1,2.030000091E-3,-1.211000024E-3,-4.890900105E-2,4.896608832E-2
4.801634400E-1,-5.629999796E-4,1.378000015E-3,-4.650900140E-2,4.653281707E-2
4.851596390E-1,-5.332000088E-3,8.527999744E-3,-4.650999978E-2,4.758505106E-2
4.901556410E-1,-2.402999904E-3,1.037899964E-2,-4.891299829E-2,5.005975872E-2
4.951517160E-1,2.667000052E-3,1.080000002E-4,-4.653700069E-2,4.661348502E-2
5.001477330E-1,-2.276000101E-3,4.974000156E-3,-3.935299814E-2,3.973133922E-2
5.051439620E-1,2.770999912E-3,4.720000084E-3,-4.175199941E-2,4.210921866E-2
5.101400220E-1,2.601000015E-3,-5.082999822E-3,-4.894300178E-2,4.927493796E-2
5.151362510E-1,7.242000196E-3,-4.554000217E-3,-5.132199824E-2,5.203011616E-2
5.201323300E-1,-4.839999892E-4,7.239999832E-4,-4.413399845E-2,4.414259000E-2
5.251283300E-1,-7.552000228E-3,5.530000199E-3,-3.934400156E-2,4.044210762E-2
5.301245590E-1,2.419999946E-4,3.340000112E-4,-4.892399907E-2,4.892573766E-2
5.351205460E-1,2.969999914E-4,2.895999933E-3,-4.652500153E-2,4.661599287E-2
5.401166200E-1,2.741999924E-3,7.625000086E-3,-4.413300008E-2,4.487071301E-2
5.451128510E-1,4.974000156E-3,9.444000199E-3,-4.414999858E-2,4.542193514E-2
5.501091450E-1,-2.739999909E-4,3.926000092E-3,-4.657199979E-2,4.673799008E-2
5.551051470E-1,-2.819999936E-4,1.384999952E-3,-5.136499926E-2,5.138444218E-2
5.601011510E-1,-2.573000034E-3,-1.029000035E-3,-4.896999896E-2,4.904834317E-2
5.650972260E-1,-4.666999914E-3,1.542999991E-3,-3.938199952E-2,3.968757518E-2
5.700934570E-1,5.890000029E-4,1.115799975E-2,-4.177200049E-2,4.324058168E-2
5.750894540E-1,3.001000034E-3,8.019999950E-4,-4.658300057E-2,4.668645572E-2
5.800855290E-1,5.212999880E-3,-6.258999929E-3,-4.658199847E-2,4.728882563E-2
5.850817400E-1,4.842000082E-3,4.042999819E-3,-5.135300010E-2,5.173897401E-2
5.900778190E-1,4.507000092E-3,6.186999846E-3,-5.375900120E-2,5.430121754E-2
5.950738190E-1,8.992999792E-3,3.364000004E-3,-5.377500132E-2,5.462546392E-2
6.000700280E-1,5.805000197E-3,3.283000086E-3,-4.899900034E-2,4.945076492E-2
6.050661070E-1,4.920000210E-4,3.195999889E-3,-4.182700068E-2,4.195181122E-2
6.100621070E-1,-4.372000229E-3,6.000000285E-4,-3.943699971E-2,3.968313662E-2
6.150583360E-1,-1.639000024E-3,-1.778000034E-3,-4.422099888E-2,4.428706750E-2
6.200544150E-1,8.629999938E-4,-1.443000045E-3,-4.421100020E-2,4.424296054E-2
6.250506490E-1,-6.424000021E-3,-8.318999782E-3,-4.180999845E-2,4.311089774E-2
6.300466510E-1,-5.907000042E-3,-7.428000215E-3,-5.135300010E-2,5.222258569E-2
6.350427260E-1,-5.421999842E-3,2.986999927E-3,-5.371500179E-2,5.407052495E-2
6.400387280E-1,-2.478000009E-3,-1.848999993E-3,-4.652800038E-2,4.663061339E-2
6.450349560E-1,-2.188999904E-3,-1.604999998E-3,-4.651600122E-2,4.659512974E-2
6.500310110E-1,-4.422999918E-3,8.194000460E-3,-3.932400048E-2,4.041140415E-2
6.550272400E-1,-6.473000161E-3,-2.017999999E-3,-3.694599867E-2,3.756299872E-2
6.600233230E-1,1.328999992E-3,-8.863000199E-3,-4.889800027E-2,4.971250792E-2
6.650193230E-1,6.082000211E-3,1.670000027E-3,-4.887099937E-2,4.927630471E-2
6.700155520E-1,3.242000006E-3,1.723999972E-3,-4.648099840E-2,4.662580779E-2
6.750116020E-1,6.419999991E-4,-6.249999860E-4,-4.169499874E-2,4.170462455E-2
6.800076020E-1,-1.735000056E-3,-4.980000085E-4,-3.450600058E-2,3.455318082E-2
6.850038360E-1,-8.705999702E-3,4.387000110E-3,-4.647300020E-2,4.748452325E-2
6.899999140E-1,-7.881999947E-3,4.199999850E-3,-5.125499889E-2,5.202730853E-2
6.949958810E-1,5.999999848E-5,1.646999968E-3,-4.167300090E-2,4.170557772E-2
6.999921870E-1,4.914999940E-3,1.683000010E-3,-4.167100042E-2,4.199359462E-2
7.049881890E-1,-2.725000028E-3,1.718000043E-3,-5.125400051E-2,5.135513332E-2
7.099841930E-1,-2.410999965E-3,1.669000019E-3,-4.885499924E-2,4.894292015E-2
7.149804220E-1,2.659999882E-4,-3.167999908E-3,-4.885099828E-2,4.895433599E-2
7.199765010E-1,2.189999941E-4,6.876000203E-3,-4.405200109E-2,4.458594105E-2
7.249725010E-1,-2.222999930E-3,8.863000199E-3,-3.209299967E-2,3.336847508E-2
7.299687300E-1,5.104999989E-3,3.364000004E-3,-3.689900041E-2,3.740205545E-2
7.349647950E-1,4.732999951E-3,5.530000199E-3,-3.930599988E-2,3.997428945E-2
7.399607950E-1,-2.786000026E-3,3.349999897E-4,-4.411099851E-2,4.420016076E-2
7.449570230E-1,-4.867000040E-3,-4.403000232E-3,-5.128899962E-2,5.170721016E-2
7.499531070E-1,-1.972000115E-3,-1.533000031E-3,-4.887200147E-2,4.893578855E-2
7.549493360E-1,3.065000055E-3,-1.309999963E-3,-3.928599879E-2,3.942714834E-2
7.599454050E-1,3.720000095E-4,1.262999955E-3,-4.407399893E-2,4.409366093E-2
7.649414050E-1,4.149999877E-4,3.627999919E-3,-4.886100069E-2,4.899726519E-2
7.699376340E-1,7.745999843E-3,1.014000038E-3,-4.647099972E-2,4.712305725E-2
7.749337130E-1,-2.400000085E-5,1.117000007E-3,-4.168900102E-2,4.170396949E-2
7.799297130E-1,-4.846000113E-3,3.489000024E-3,-3.450699896E-2,3.501984887E-2
7.849260090E-1,2.709999913E-3,3.245000029E-3,-4.169199988E-2,4.190581080E-2
7.899220110E-1,2.441999968E-3,-4.141000099E-3,-5.606799945E-2,5.627372218E-2
7.949182390E-1,-7.599999662E-5,-1.278999960E-3,-5.366099998E-2,5.367629399E-2
7.999142520E-1,2.304000081E-3,1.327999984E-3,-4.407700151E-2,4.415715189E-2
8.049103270E-1,6.864999887E-3,3.686999902E-3,-3.929100186E-2,4.005627315E-2
8.099065680E-1,6.341000088E-3,1.541099977E-2,-4.409499839E-2,4.713890197E-2
8.149025700E-1,5.762999877E-3,6.986000109E-3,-5.132399872E-2,5.211688028E-2
8.198988800E-1,5.619999720E-4,1.694999984E-3,-4.895000160E-2,4.898256348E-2
8.248948820E-1,-1.804000000E-3,4.035999998E-3,-4.176900163E-2,4.200230005E-2
8.298909590E-1,5.495999940E-3,1.368999947E-3,-4.416799918E-2,4.452967918E-2
8.348871870E-1,3.100000031E-4,8.512999862E-3,-4.896299914E-2,4.969851659E-2
