"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.161479190E-1,-1.614466310E-2,-8.860558271E-3,1.708221436E-2,2.511895075E-2
4.209746900E-1,6.105750799E-4,-6.388068199E-3,3.103065491E-2,3.168724919E-2
4.258014080E-1,1.712377369E-2,-3.949046135E-3,2.827072144E-2,3.328741927E-2
4.306281270E-1,3.834515810E-4,7.923245430E-4,6.649971008E-3,6.707974933E-3
4.354548980E-1,5.149304867E-3,-3.977775574E-3,3.255939484E-2,3.320319610E-2
4.402816170E-1,9.856283665E-3,-1.102355123E-2,1.561355591E-2,2.150460735E-2
4.451083350E-1,7.358439267E-3,-3.803223372E-3,1.069641113E-2,1.352864914E-2
4.499351060E-1,1.638084650E-4,1.987749338E-2,-1.253128052E-3,1.991762803E-2
4.547618250E-1,-2.246320248E-3,1.493650675E-2,1.531314850E-2,2.150901452E-2
4.595885440E-1,9.588629007E-3,-1.122629642E-2,1.986408234E-2,2.474981424E-2
4.644153150E-1,1.179829240E-2,7.535815239E-4,1.253700256E-2,1.723206377E-2
4.692420330E-1,1.164950430E-2,-1.596808434E-3,2.895069122E-2,3.124745222E-2
4.740687520E-1,-7.421940565E-3,-8.651554585E-3,3.335475922E-2,3.524875261E-2
4.788955230E-1,2.083010972E-3,1.507058740E-2,2.114772797E-2,2.605163982E-2
4.837222420E-1,1.863771677E-2,-1.665204763E-3,2.564525604E-2,3.174612655E-2
4.885490130E-1,2.320917696E-2,-1.351326704E-2,1.826477051E-2,3.247885655E-2
4.933757310E-1,-7.796645164E-3,-1.100459695E-2,2.043247223E-2,2.448213126E-2
4.982024500E-1,8.843660355E-3,-1.086264849E-2,8.378982544E-3,1.632221827E-2
5.030292210E-1,8.763775229E-3,3.452420235E-3,1.188278198E-3,9.493943692E-3
5.078559400E-1,1.554615796E-3,8.146286011E-3,5.909919739E-3,1.018361220E-2
5.126826580E-1,-8.725523949E-4,-6.150990725E-3,5.846977234E-3,8.531305724E-3
5.175094290E-1,6.196983159E-3,-1.326888800E-3,1.762866974E-2,1.873321198E-2
5.223361480E-1,8.457392454E-3,5.787581205E-3,4.113101959E-2,4.238849320E-2
5.271628670E-1,1.783172786E-2,-3.779232502E-3,9.922027588E-3,2.075330692E-2
5.319896380E-1,2.477428317E-2,5.729436874E-3,1.929855347E-2,3.192218225E-2
5.368163560E-1,1.503677666E-2,3.328323364E-3,1.673984528E-2,2.274653399E-2
5.416431270E-1,-6.478860974E-3,3.261923790E-3,9.465217590E-3,1.192502119E-2
5.464698460E-1,7.815808058E-3,-1.099199057E-2,1.648330688E-2,2.129812475E-2
5.512965650E-1,1.009477675E-2,9.584724903E-4,1.869392395E-2,2.126701624E-2
5.561233350E-1,-1.371575892E-2,-6.165832281E-3,2.799701691E-2,3.178006429E-2
5.609500540E-1,6.485208869E-4,-1.319363713E-2,2.536296844E-2,2.859672723E-2
5.657767730E-1,-1.683846116E-3,3.546923399E-3,1.422882080E-3,4.176194051E-3
5.706035440E-1,7.829457521E-3,-3.602951765E-3,3.222751617E-2,3.336007292E-2
5.754302630E-1,-1.769810915E-3,-1.302900910E-2,1.059436798E-2,1.688573190E-2
5.802569810E-1,-6.539002061E-3,-1.759952307E-2,1.286983490E-2,2.276256599E-2
5.850837520E-1,5.333110690E-3,-5.589723587E-3,5.639076233E-3,9.564845016E-3
5.899104710E-1,2.928264439E-3,3.941357136E-3,2.218818665E-2,2.272497866E-2
5.947372420E-1,-1.884929836E-3,6.273448467E-3,1.724815369E-2,1.845014693E-2
5.995639600E-1,2.183587849E-2,-5.674928427E-3,5.236625671E-3,2.316101575E-2
6.043906790E-1,1.925911009E-2,-7.973164320E-3,1.705169678E-2,2.693037382E-2
6.092174500E-1,1.670600474E-2,3.951847553E-3,1.453304291E-2,2.249259944E-2
6.140441690E-1,4.687309265E-3,-1.509505510E-2,1.440811157E-2,2.138750186E-2
6.188708880E-1,1.172038168E-2,-1.025551558E-2,2.377319336E-2,2.842019826E-2
6.236976580E-1,1.397804171E-2,1.690268517E-3,9.337425232E-3,1.689467868E-2
6.285243770E-1,4.325181246E-3,1.730114222E-3,1.163291931E-2,1.253097361E-2
6.333511480E-1,1.142118871E-2,-6.614923477E-4,1.153564453E-2,1.624660637E-2
6.381778670E-1,1.128116250E-2,-3.033190966E-3,1.381206512E-2,1.808972133E-2
6.430045850E-1,1.831920445E-2,6.508409977E-3,1.606941223E-2,2.522258237E-2
6.478313560E-1,8.659288287E-3,1.119560003E-2,1.593589783E-2,2.131378834E-2
6.526580750E-1,1.088602841E-2,-1.025801897E-2,2.054786682E-2,2.541549525E-2
6.574847940E-1,1.549705863E-2,-3.087699413E-3,8.510589600E-3,1.794778118E-2
6.623115650E-1,5.890615284E-3,-6.646811962E-4,1.318740845E-2,1.445852313E-2
6.671382830E-1,-1.262880862E-3,-6.347000599E-4,2.019596100E-2,2.024535880E-2
6.719650020E-1,8.166857064E-3,1.125910878E-2,1.053619385E-2,1.744925401E-2
6.767917730E-1,3.309845924E-3,-7.041990757E-4,3.329277039E-3,4.747110909E-3
6.816184920E-1,8.013144135E-3,-7.030367851E-4,1.753807068E-2,1.929478331E-2
6.864452630E-1,1.748294383E-2,-7.025897503E-4,2.213764191E-2,2.821740857E-2
6.912719810E-1,7.121860981E-4,-7.820069790E-3,5.970001221E-4,7.875094266E-3
6.960987000E-1,7.781714201E-3,-2.985030413E-3,1.245784760E-2,1.498877744E-2
7.009254710E-1,5.359053612E-3,1.130121946E-2,1.947212219E-2,2.314304560E-2
7.057521900E-1,5.271211267E-3,-1.487058401E-2,2.880096436E-2,3.283923697E-2
7.105789080E-1,9.958989918E-3,-2.858161926E-3,1.195335388E-2,1.581876224E-2
7.154056790E-1,-9.180232882E-3,9.054481983E-3,2.371788025E-2,2.699626202E-2
7.202323980E-1,-4.401147366E-3,4.228234291E-3,1.165485382E-2,1.315612713E-2
7.250591690E-1,3.081262112E-4,-1.007813215E-2,1.392745972E-2,1.719412177E-2
7.298858880E-1,7.409311831E-3,1.613199711E-2,2.567768097E-2,3.121670278E-2
