"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.641006700E-2,6.023136526E-2,1.909047365E-3,8.507633209E-2,1.042566262E-1
9.123741100E-2,3.793391958E-2,-9.421288967E-3,7.010078430E-2,8.026121666E-2
9.606475500E-2,2.897527441E-2,4.111558199E-3,4.849338531E-2,5.663991400E-2
1.008921510E-1,1.643112674E-2,1.441088319E-2,2.689933777E-2,3.465876300E-2
1.057194940E-1,2.457510680E-3,8.693248034E-3,9.366035461E-3,1.301286058E-2
1.105468380E-1,-1.977128536E-2,2.134701610E-2,4.251480103E-3,2.940533802E-2
1.153742340E-1,5.894530565E-3,-6.768107414E-3,8.438110352E-3,1.231886662E-2
1.202015780E-1,2.514140680E-2,-1.061409712E-2,1.688766479E-2,3.209271905E-2
1.250289210E-1,9.432584047E-3,3.824472427E-3,1.815223694E-2,2.081114934E-2
1.298562650E-1,1.268152893E-2,-2.920389175E-3,3.522777557E-2,3.755457390E-2
1.346836610E-1,1.593759656E-2,8.788019419E-3,4.924488068E-2,5.250042421E-2
1.395110050E-1,3.299494088E-2,1.075875759E-2,4.451274872E-2,5.644290732E-2
1.443383490E-1,2.686743811E-2,5.742460489E-3,5.834674835E-2,6.449169037E-2
1.491656920E-1,1.684884727E-2,9.935051203E-3,5.797672272E-2,6.118732936E-2
1.539930880E-1,2.123027295E-2,-1.123884320E-2,3.714466095E-2,4.423530177E-2
1.588204320E-1,1.176802441E-2,2.732187510E-3,4.247093201E-2,4.415576194E-2
1.636477760E-1,4.945520312E-3,-2.143114805E-3,1.090621948E-2,1.216539089E-2
1.684751710E-1,2.852655947E-3,-9.134978056E-3,1.048278809E-2,1.419416486E-2
1.733025150E-1,5.878023803E-4,4.176199436E-4,8.792877197E-4,1.137130138E-3
1.781298590E-1,-6.437838078E-3,4.570186138E-4,1.238632202E-2,1.396694664E-2
1.829572550E-1,7.392060012E-3,-1.102736592E-2,7.341384888E-3,1.517040812E-2
1.877845990E-1,4.378408194E-3,3.358602524E-3,-1.140594482E-2,1.267068453E-2
1.926119420E-1,6.069686264E-3,1.103281975E-3,9.805679321E-3,1.158488970E-2
1.974392860E-1,1.942058653E-2,3.526866436E-3,1.645565033E-2,2.569798427E-2
2.022666820E-1,1.393840834E-2,-1.967164874E-2,2.292060852E-2,3.326570736E-2
2.070940260E-1,1.350139454E-2,-5.132108927E-3,3.385925293E-2,3.681134615E-2
2.119213690E-1,2.723624371E-2,-5.044966936E-3,2.824306488E-2,3.955926411E-2
2.167487650E-1,5.887009203E-3,-3.687143326E-4,2.047634125E-2,2.130899760E-2
2.215761090E-1,1.418445259E-3,-1.444461942E-2,3.621768951E-2,3.901768895E-2
2.264034530E-1,-5.318567157E-3,-1.651144028E-2,2.128219604E-2,2.745626859E-2
2.312308490E-1,1.139849424E-2,2.446681261E-3,6.745338440E-3,1.346890905E-2
2.360581920E-1,-4.066191614E-4,9.353578091E-3,6.576538086E-3,1.144139919E-2
2.408855360E-1,-9.731017053E-3,1.609757543E-2,1.575374603E-2,2.453579307E-2
2.457128800E-1,-4.968680441E-3,1.118373871E-2,1.368522644E-3,1.231408344E-2
2.505402760E-1,-1.443018019E-2,1.658916473E-3,6.011962891E-3,1.572023543E-2
2.553676190E-1,1.139215007E-2,1.705199480E-3,1.756954193E-2,2.100898837E-2
2.601949630E-1,1.556194946E-2,1.751214266E-3,2.186107635E-2,2.689140535E-2
2.650223590E-1,5.660481751E-3,-1.227638125E-2,2.372741699E-2,2.730825713E-2
2.698497030E-1,7.723569870E-4,4.462152719E-3,3.025054932E-2,3.058762946E-2
2.746770460E-1,1.724703610E-2,-3.769099712E-4,2.024650574E-2,2.659931033E-2
2.795043900E-1,1.701285318E-2,1.131951809E-2,5.767822266E-3,2.123290928E-2
2.843317860E-1,2.721674740E-3,-7.207393646E-4,3.304481506E-3,4.341264407E-3
2.891591300E-1,7.568661124E-3,-7.672905922E-4,1.027679443E-2,1.278615931E-2
2.939864740E-1,1.226558536E-2,-1.251810789E-2,1.946640015E-2,2.619328815E-2
2.988138690E-1,1.212225482E-2,-7.617652416E-3,1.440238953E-2,2.030779442E-2
3.036412130E-1,1.894479059E-2,-1.211813092E-2,4.673004150E-5,2.248902779E-2
3.084685570E-1,4.420295358E-3,-7.143795490E-3,7.095336914E-3,1.099620985E-2
3.132959530E-1,8.898545057E-3,1.419010758E-2,1.872062683E-2,2.511981541E-2
3.181232960E-1,-7.855493575E-3,4.650980234E-3,1.134395599E-2,1.456110346E-2
3.229506400E-1,2.029884607E-2,1.165202260E-2,2.055454254E-2,3.114967097E-2
3.277779840E-1,8.108176291E-3,-4.955738783E-3,1.315021515E-2,1.622436526E-2
3.326053800E-1,-6.169993430E-3,-7.170766592E-3,2.469730377E-2,2.644703246E-2
3.374327240E-1,2.694191784E-2,-2.377420664E-3,2.899932861E-2,3.965450953E-2
3.422600670E-1,1.956406981E-2,-4.529953003E-5,2.853012085E-2,3.459367970E-2
3.470874630E-1,1.937191561E-2,2.278864384E-3,1.630210876E-2,2.542091830E-2
3.519148070E-1,-4.365663975E-3,-1.430526376E-2,2.075672150E-2,2.558400048E-2
3.567421510E-1,7.569987327E-3,-1.647251844E-2,-7.677078247E-4,1.814491519E-2
3.615695460E-1,7.515795529E-3,1.676660776E-2,2.516651154E-2,3.116022499E-2
3.663968900E-1,7.436182350E-3,2.371162176E-3,1.300430298E-2,1.516677665E-2
3.712242340E-1,2.556085587E-3,-9.454309940E-3,1.025199890E-3,9.847262807E-3
3.760516300E-1,-2.281747758E-3,-9.319722652E-3,5.726814270E-3,1.117407736E-2
3.808789740E-1,-4.721309990E-3,-4.442751408E-3,1.036167145E-2,1.222264469E-2
3.857063170E-1,-2.410288900E-3,2.723872662E-3,1.021575928E-2,1.084392514E-2
3.905336610E-1,-7.378309965E-5,-4.366010427E-3,2.895164490E-2,2.927909208E-2
3.953610570E-1,1.400188729E-2,7.491737604E-3,1.203346252E-2,1.992443727E-2
4.001884010E-1,2.070851624E-3,-2.053916454E-3,1.187038422E-2,1.222346189E-2
4.050157440E-1,-2.588927746E-3,2.663820982E-3,1.171112061E-2,1.228612367E-2
4.098431400E-1,1.403514668E-2,-2.125412226E-3,-2.611160278E-3,1.443332524E-2
4.146704840E-1,1.863598078E-2,-2.187281847E-3,1.395225525E-2,2.338267325E-2
4.194978280E-1,1.137128100E-2,1.713931561E-4,1.960754395E-3,1.154036243E-2
4.243252240E-1,-5.817525089E-4,-2.166807652E-3,-9.875297546E-3,1.012694391E-2
4.291525670E-1,1.848075539E-3,-2.142012119E-3,9.151458740E-3,9.578767989E-3
4.339799110E-1,4.190042615E-3,1.206183434E-2,1.849269867E-2,2.247274368E-2
4.388073070E-1,1.748763025E-3,7.214128971E-3,6.450653076E-3,9.834264286E-3
4.436346510E-1,-7.784951478E-3,-1.642781496E-2,-1.490020752E-2,2.350520704E-2
4.484619940E-1,2.298846655E-2,9.773015976E-3,8.919715881E-3,2.652438061E-2
4.532893900E-1,8.474335074E-3,9.655594826E-3,1.354503632E-2,1.866849954E-2
4.581167340E-1,8.377298713E-3,4.840105772E-3,1.575374603E-2,1.848746255E-2
4.629440780E-1,1.187592745E-3,2.387613058E-3,1.084041595E-2,1.116358772E-2
4.677714210E-1,8.302636445E-3,-2.373248339E-3,1.255035400E-3,8.725892130E-3
4.725988170E-1,-3.558538854E-3,1.421242952E-2,1.070404053E-2,1.814477433E-2
4.774261610E-1,1.547165774E-2,-1.744627953E-4,1.058387756E-2,1.874622881E-2
4.822535050E-1,-5.936328322E-3,-2.332329750E-4,8.099555969E-3,1.004475975E-2
4.870809010E-1,1.230139285E-3,-1.209619641E-2,1.274490356E-2,1.761430604E-2
4.919082440E-1,5.895391107E-3,6.968200207E-3,1.970767975E-2,2.171874977E-2
4.967355880E-1,1.070313156E-3,-4.945069551E-3,-4.175186157E-3,6.559837084E-3
5.015629320E-1,-3.701779991E-3,-4.866451025E-3,7.707595825E-3,9.838320695E-3
5.063903280E-1,-1.321915537E-3,7.050424814E-3,1.473236084E-2,1.638592099E-2
5.112176710E-1,-3.732182086E-3,-1.194080710E-2,1.931667328E-2,2.301403754E-2
5.160450150E-1,1.285710931E-2,-4.686892033E-3,2.543449402E-3,1.391910024E-2
5.208724110E-1,7.963329554E-3,2.493083477E-3,9.623527527E-3,1.273743949E-2
5.256997550E-1,3.177601844E-3,4.863739014E-3,7.159233093E-3,9.219963620E-3
5.305270990E-1,5.489706993E-3,-4.692614079E-3,1.893234253E-2,2.026304773E-2
5.353544940E-1,-4.040066153E-3,-2.250403166E-3,1.164054871E-2,1.252552686E-2
5.401818380E-1,-3.968097270E-3,1.093149185E-4,1.389598846E-2,1.445185943E-2
5.450091820E-1,-8.665982634E-3,-4.633903503E-3,9.021759033E-3,1.334033181E-2
5.498365780E-1,-3.782507032E-3,1.478195190E-4,-5.445480347E-4,3.824361727E-3
5.546639210E-1,-6.114520133E-3,-2.355849743E-2,4.201889038E-3,2.469910988E-2
5.594912650E-1,8.137714118E-3,-1.620009542E-2,1.127433777E-2,2.134891507E-2
5.643186610E-1,3.294400871E-3,7.654160261E-3,1.117038727E-2,1.393616870E-2
5.691460050E-1,8.385479450E-4,-6.673038006E-3,3.954887390E-3,7.802162082E-3
5.739733490E-1,1.028961316E-2,4.690885544E-4,1.103115082E-2,1.509246406E-2
5.788007440E-1,-6.457760930E-3,-1.613646746E-2,1.446723938E-3,1.744079323E-2
5.836280880E-1,-8.769016713E-3,7.778137922E-3,2.277851105E-2,2.561748718E-2
5.884554320E-1,-1.103132591E-2,1.247930527E-2,2.020645142E-2,2.618633021E-2
5.932828280E-1,1.281341910E-2,2.880364656E-3,-1.317977905E-3,1.319913919E-2
5.981101710E-1,1.750591770E-2,4.809796810E-4,1.066207886E-3,1.754495070E-2
6.029375150E-1,-3.935899585E-3,-1.618912816E-2,8.170127869E-3,1.855613552E-2
6.077648590E-1,-8.615251631E-3,1.007208228E-2,9.851455688E-4,1.329059494E-2
6.125922550E-1,-1.091118902E-2,4.939734936E-4,1.758289337E-2,2.069918344E-2
6.174195990E-1,1.053956896E-2,-6.660223007E-3,1.268959045E-2,1.778951349E-2
