"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.640735460E-1,7.697790861E-3,-7.265150547E-3,-1.562500000E-2,1.887270573E-2
3.689009410E-1,1.210983843E-2,7.104516029E-3,1.290130615E-2,1.906740767E-2
3.737283370E-1,9.300284088E-3,4.817456007E-3,1.507854462E-2,1.835934842E-2
3.785557330E-1,-5.461499095E-4,-9.318917990E-3,1.486587524E-2,1.755376766E-2
3.833831290E-1,6.348371506E-3,7.413834333E-3,2.173995972E-2,2.383049745E-2
3.882105250E-1,1.326495409E-2,-6.819576025E-3,1.200103760E-2,1.914394232E-2
3.930379210E-1,8.375346661E-3,-1.614090800E-2,2.398490906E-3,1.834197649E-2
3.978653160E-1,3.639705479E-3,7.682859898E-3,7.089614868E-3,1.106961748E-2
4.026927120E-1,-5.667403340E-3,9.884029627E-3,1.644134521E-2,2.000328310E-2
4.075201080E-1,-5.407631397E-3,-6.835699081E-3,2.058029175E-3,8.955710097E-3
4.123475040E-1,2.083149552E-2,-2.082884312E-3,4.393577576E-3,2.139142671E-2
4.171748480E-1,4.215314984E-3,-2.144426107E-3,-1.456356049E-2,1.531224144E-2
4.220022430E-1,-2.799049020E-3,-1.168632507E-2,-1.202106476E-2,1.699737824E-2
4.268296390E-1,-5.088023841E-3,2.446472645E-4,-9.510040283E-3,1.078835970E-2
4.316570350E-1,-7.407106459E-3,9.753495455E-3,9.516716003E-3,1.551011873E-2
4.364844310E-1,-2.636484802E-3,2.081990242E-4,-2.416610718E-3,3.582513964E-3
4.413118270E-1,-3.456324339E-4,1.205557585E-2,-2.388000488E-3,1.229467027E-2
4.461392230E-1,6.647571921E-3,9.606361389E-3,-7.087707520E-3,1.366411320E-2
4.509666180E-1,1.829137653E-2,2.427548170E-3,-1.410102844E-2,2.322297243E-2
4.557940140E-1,3.784313798E-3,4.793167114E-3,-4.476547241E-3,7.571985018E-3
4.606214100E-1,1.241624355E-3,-4.753887653E-3,-4.428863525E-3,6.614825091E-3
4.654488060E-1,-1.213051379E-3,-4.701703787E-3,1.218128204E-2,1.311339561E-2
4.702762020E-1,8.307151496E-3,-9.412288666E-3,4.946708679E-3,1.349332689E-2
4.751035980E-1,-3.547817469E-3,-9.338617325E-3,1.435852051E-2,1.749182362E-2
4.799309410E-1,1.082087308E-2,-1.166349649E-2,9.467124939E-3,1.851364090E-2
4.847583370E-1,-1.286729425E-2,-1.636064053E-2,-2.471923828E-3,2.096063518E-2
4.895857330E-1,-5.500018597E-3,-4.409015179E-3,1.649284363E-2,1.793609518E-2
4.944131290E-1,-6.368905306E-4,7.445454597E-3,6.849288940E-3,1.013672446E-2
4.992405250E-1,4.146359861E-3,-6.840437651E-3,-7.429122925E-3,1.091676485E-2
5.040679210E-1,-3.047533333E-3,-4.402697086E-3,-9.722709656E-3,1.109965243E-2
5.088953160E-1,-1.011000574E-2,1.219096780E-2,-2.519607544E-3,1.603684302E-2
5.137227120E-1,-2.977803349E-3,1.917284727E-2,4.611968994E-3,1.994331074E-2
5.185501080E-1,-6.851926446E-4,9.534090757E-3,4.566192627E-3,1.059332293E-2
5.233775040E-1,6.411463022E-3,-2.406895161E-3,1.162815094E-2,1.349495819E-2
5.282049000E-1,-7.914289832E-3,-1.417270303E-2,-3.318786621E-4,1.623612140E-2
5.330322960E-1,-3.144986928E-3,2.580255270E-3,-3.280639648E-4,4.081211339E-3
5.378596910E-1,1.108660549E-2,-1.166439056E-2,1.389503479E-2,2.126129865E-2
5.426870350E-1,-8.292943239E-4,2.962648869E-4,6.652832031E-3,6.710862537E-3
5.475144310E-1,-7.863149047E-3,9.773850441E-3,8.960723877E-3,1.541596049E-2
5.523418270E-1,8.843421936E-3,-9.340196848E-3,1.765251160E-3,1.298312367E-2
5.571692230E-1,-6.520524621E-4,4.940479994E-3,1.123142242E-2,1.228732537E-2
5.619966180E-1,-1.723147929E-2,-1.173079014E-2,1.349830627E-2,2.483424225E-2
5.668240140E-1,-1.463368535E-2,4.972428083E-3,2.523136139E-2,2.958870368E-2
5.716514100E-1,-4.975907505E-3,1.201122999E-2,-1.081466675E-3,1.304602896E-2
5.764788060E-1,1.170960069E-2,2.446383238E-3,1.315879822E-2,1.778351792E-2
5.813062020E-1,-1.209882647E-2,9.538739920E-3,1.304244995E-2,2.018600163E-2
5.861335980E-1,-2.494685352E-3,-2.317070961E-3,5.815505981E-3,6.738871023E-3
5.909609930E-1,1.645535976E-2,-2.268314362E-3,-8.465766907E-3,1.864385486E-2
5.957883890E-1,-5.053795874E-3,-1.168006659E-2,-1.275062561E-3,1.279025382E-2
6.006157850E-1,-1.689200103E-2,-1.869764924E-2,1.109123230E-3,2.522244913E-2
6.054431810E-1,1.650767028E-2,2.812743187E-3,8.215904236E-3,1.865250077E-2
6.102705770E-1,4.517048597E-3,4.154741764E-4,3.402709961E-3,5.670518662E-3
6.150979210E-1,-1.214931160E-2,1.224654913E-2,5.745887756E-3,1.818238059E-2
6.199253160E-1,1.169143617E-2,5.054473877E-3,3.326416016E-3,1.316443806E-2
6.247527120E-1,2.115567774E-2,9.757161140E-3,8.044242859E-3,2.464700260E-2
6.295801080E-1,2.345162630E-2,9.645640850E-3,8.592605591E-4,2.537233715E-2
6.344075040E-1,-3.742575645E-4,1.190826297E-2,8.516311646E-4,1.194454148E-2
6.392349000E-1,-5.047746003E-3,7.062643766E-3,8.459091187E-4,8.722169393E-3
6.440622960E-1,-2.562664449E-3,4.629969597E-3,8.401870728E-4,5.358150974E-3
6.488896910E-1,-2.501398325E-3,4.590779543E-3,1.032447815E-2,1.157268765E-2
6.537170870E-1,1.171193272E-2,-7.284224033E-3,7.865905762E-3,1.587771272E-2
6.585444830E-1,1.634254307E-2,2.296298742E-3,-6.434440613E-3,1.771309481E-2
6.633718790E-1,9.100370109E-3,2.275913954E-3,-1.587295532E-2,1.843765796E-2
6.681992750E-1,2.087140083E-2,7.001787424E-3,7.987976074E-3,2.341897012E-2
6.730266710E-1,4.070729017E-3,-1.204088330E-2,-8.687019348E-3,1.539538926E-2
6.778540660E-1,-5.531728268E-3,-4.851758480E-3,3.247261047E-3,8.042653933E-3
6.826814620E-1,2.294117212E-2,4.621118307E-3,-1.529693604E-3,2.345190984E-2
6.875088060E-1,-8.116029203E-3,-9.684562683E-3,1.272010803E-2,1.792935673E-2
