"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.044501040E-1,7.209725678E-3,1.070967317E-2,-1.175022125E-2,1.745694541E-2
4.092772390E-1,1.413621381E-2,-1.165628433E-3,-1.159381866E-2,1.831960321E-2
4.141043750E-1,-5.033090711E-3,-1.078158617E-3,-9.079933167E-3,1.043741416E-2
4.189314580E-1,-1.448082179E-2,-1.049906015E-3,9.934425354E-3,1.759230825E-2
4.237585930E-1,4.569150507E-3,-3.384977579E-3,2.162075043E-2,2.235602958E-2
4.285857290E-1,2.574465051E-2,3.760248423E-3,7.173538208E-3,2.698862999E-2
4.334128640E-1,6.457857788E-3,1.557353139E-2,7.085800171E-3,1.828790232E-2
4.382400000E-1,1.349462196E-2,1.245021820E-3,2.118301392E-2,2.514706702E-2
4.430671350E-1,-8.283182979E-4,8.336424828E-3,2.016067505E-3,8.616647741E-3
4.478942710E-1,-3.187306225E-3,1.064482331E-2,1.994132996E-3,1.128927592E-2
4.527214060E-1,-1.264213026E-2,3.410637379E-3,-9.853363037E-3,1.638733254E-2
4.575485410E-1,-3.040634096E-3,-8.410453796E-3,6.818771362E-3,1.124619187E-2
4.623756250E-1,-1.486492157E-2,5.892127752E-3,-5.085945129E-3,1.677944876E-2
4.672027600E-1,4.137136042E-3,-8.325308561E-3,6.800651550E-3,1.151848596E-2
4.720298960E-1,-7.802799344E-3,-8.246481419E-3,-5.105972290E-3,1.244825636E-2
4.768570310E-1,-6.811842322E-4,-1.050668955E-2,-2.682685852E-3,1.086514338E-2
4.816841660E-1,-1.499494165E-2,1.426726580E-3,-2.654075623E-3,1.529470305E-2
4.865113020E-1,-5.428493023E-3,-9.703040123E-4,-2.626419067E-3,6.108035977E-3
4.913384370E-1,6.431683898E-3,3.817647696E-3,-2.307891846E-4,7.482930932E-3
4.961655730E-1,-1.260834932E-2,-8.016645908E-3,-4.961013794E-3,1.574321257E-2
5.009927080E-1,-2.905259281E-2,3.919899464E-3,1.639938354E-2,3.359104853E-2
5.058198430E-1,1.383851841E-2,6.261229515E-3,2.020835876E-3,1.532290327E-2
5.106469270E-1,-7.623046637E-3,6.211131811E-3,1.999855042E-3,1.003436189E-2
5.154740620E-1,-4.455596209E-4,3.822922707E-3,9.087562561E-3,9.868994614E-3
5.203011980E-1,8.969701827E-3,-9.385347366E-4,-4.796981812E-4,9.031417865E-3
5.251283330E-1,4.110515118E-3,-1.512870193E-2,1.893997192E-3,1.579117418E-2
5.299554680E-1,-1.017865539E-2,-2.681034803E-2,-4.940032959E-4,2.868176819E-2
5.347826040E-1,1.734241843E-3,-2.839654684E-3,4.250526428E-3,5.397981883E-3
5.396097390E-1,-6.577074528E-4,1.381871104E-2,1.131916046E-2,1.787491951E-2
5.444368750E-1,-6.549060345E-4,-5.229473114E-3,-3.005027771E-3,6.066834666E-3
5.492640100E-1,-3.052413464E-3,1.145398617E-2,6.504058838E-3,1.352086567E-2
5.540911460E-1,-1.013888419E-2,6.648868322E-3,6.444931030E-3,1.373104361E-2
5.589182290E-1,-2.967469394E-3,-4.518330097E-4,1.349735260E-2,1.382709495E-2
5.637453640E-1,-7.628455758E-3,1.144936681E-2,-8.506774902E-4,1.378422975E-2
5.685725000E-1,1.948677003E-3,1.875311136E-3,1.101207733E-2,1.133931131E-2
5.733996350E-1,-2.843894064E-3,-2.869874239E-3,2.750968933E-2,2.780480028E-2
5.782267710E-1,-1.230785996E-2,1.376909018E-2,1.777744293E-2,2.563413229E-2
5.830539060E-1,-7.459573448E-3,6.546020508E-3,8.132934570E-3,1.283122150E-2
5.878810410E-1,-9.740516543E-3,-2.984285355E-3,5.690574646E-3,1.166903001E-2
5.927081770E-1,-2.513885498E-3,6.543278694E-3,1.750087738E-2,1.885244879E-2
5.975353120E-1,1.167711988E-2,1.130306721E-2,1.260662079E-2,2.056796890E-2
6.023624480E-1,1.862908155E-2,-5.824267864E-4,1.487159729E-2,2.384420907E-2
6.071895830E-1,-2.858780324E-3,8.955925703E-3,1.711845398E-2,1.953004600E-2
6.120166660E-1,9.022645652E-3,-5.340754986E-3,-6.751060486E-3,1.247030938E-2
6.168438020E-1,1.606144756E-2,4.238247871E-3,4.243850708E-4,1.661664664E-2
6.216709370E-1,6.402321160E-3,1.608160138E-2,9.912490845E-3,1.994655594E-2
6.264980730E-1,1.599676907E-3,-6.485581398E-4,-9.152412415E-3,9.313766525E-3
6.313252080E-1,6.269134581E-3,1.120626926E-2,5.161285400E-3,1.383912520E-2
6.361523430E-1,-1.754667610E-2,2.296254039E-2,5.117416382E-3,2.934879987E-2
