"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.077261300E-2,1.409109980E-1,-3.752699867E-2,-1.181479990E-1,1.876782743E-1
1.576807400E-2,1.782959998E-1,-4.132999852E-2,-1.038800031E-1,2.104487761E-1
2.076461300E-2,2.948999964E-2,-6.202999968E-3,-1.064500026E-2,3.196018332E-2
2.576121800E-2,-2.129569948E-1,5.910899863E-2,3.002399951E-2,2.230381041E-1
3.075760300E-2,-6.105399877E-2,2.283100039E-2,-3.685700148E-2,7.488179954E-2
3.575422100E-2,1.407029927E-1,-3.170600161E-2,-3.920900077E-2,1.494655426E-1
4.075076200E-2,5.207400024E-2,-1.688900031E-2,1.093200035E-2,5.582515978E-2
4.574716100E-2,-9.406899661E-2,2.512199990E-2,8.492000401E-3,9.773538291E-2
5.074369800E-2,-6.489899755E-2,2.512600087E-2,-2.017699927E-2,7.245900290E-2
5.574030300E-2,2.201299928E-2,1.369999954E-3,-6.324099749E-2,6.697665863E-2
6.073669000E-2,1.805300079E-2,3.932000138E-3,-5.368800089E-2,5.677827843E-2
6.573328900E-2,-1.660499908E-2,1.103700045E-2,-3.436000086E-3,2.023233724E-2
7.072983000E-2,-1.495699957E-2,4.159999953E-4,2.528999932E-2,2.938484231E-2
7.572621400E-2,-1.381999999E-2,9.500000306E-5,6.149000023E-3,1.512652062E-2
8.072280300E-2,-1.305700000E-2,1.193199959E-2,-2.017699927E-2,2.683224111E-2
8.571934300E-2,-2.735000104E-3,3.888000036E-3,-2.497999929E-2,2.542827431E-2
9.071595700E-2,7.025999948E-3,-1.532199979E-2,-8.217999712E-3,1.875270306E-2
9.571233400E-2,1.765999943E-3,-9.100000374E-3,8.580000140E-3,1.263111891E-2
1.007088710E-1,4.215000197E-3,-6.062999833E-3,1.419999986E-3,7.519480940E-3
1.057054760E-1,1.575000002E-3,-3.263999941E-3,-3.209000081E-2,3.229400057E-2
1.107018630E-1,-1.046700031E-2,-5.286999978E-3,-4.165299982E-2,4.327219498E-2
1.156983690E-1,-2.306000097E-3,-7.005000021E-3,-2.724600025E-2,2.822644489E-2
1.206949850E-1,7.422000170E-3,8.138000034E-3,-1.524499990E-2,1.880752916E-2
1.256913760E-1,-2.750999993E-3,9.875999764E-3,-2.246299945E-2,2.469189577E-2
1.306879130E-1,-7.147999946E-3,9.091000073E-3,-4.163499922E-2,4.321126410E-2
1.356845280E-1,8.319999906E-4,6.035999861E-3,-4.642999917E-2,4.682809351E-2
1.406811350E-1,8.529999759E-4,5.752999801E-3,-2.728600055E-2,2.789893263E-2
1.456775210E-1,-1.658000052E-3,1.262199972E-2,-8.144999854E-3,1.511306930E-2
1.506740580E-1,7.999999798E-4,1.983999973E-3,1.396000036E-3,2.554422041E-3
1.556704440E-1,3.032000037E-3,4.199999850E-3,-1.297799964E-2,1.397360002E-2
1.606670580E-1,-1.979999943E-3,1.105600037E-2,-2.975500003E-2,3.180433257E-2
