"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.017194780E-1,1.295509934E-1,-1.388570070E-1,-7.439900190E-2,2.039606329E-1
3.067163220E-1,2.164199948E-1,-3.964920044E-1,-1.771939993E-1,4.852228736E-1
3.117127090E-1,6.746000051E-2,-2.765800059E-1,-1.236670017E-1,3.103882708E-1
3.167095530E-1,-1.505530030E-1,1.384869963E-1,-3.666099906E-2,2.078193535E-1
3.217061750E-1,-2.080750018E-1,4.209010005E-1,2.057800069E-2,4.699748001E-1
3.267027900E-1,-4.602599889E-2,2.694959939E-1,2.682299912E-2,2.747106779E-1
3.316994050E-1,1.657579988E-1,-1.466159970E-1,4.614999983E-3,2.213442183E-1
3.366957900E-1,2.228080034E-1,-4.048480093E-1,-4.794299975E-2,4.645899787E-1
3.416926340E-1,6.506399810E-2,-2.599779963E-1,-1.620330065E-1,3.131718021E-1
3.466892430E-1,-1.666380018E-1,1.558550000E-1,-2.115440071E-1,3.111428476E-1
3.516856270E-1,-2.345869988E-1,4.331980050E-1,-8.963999897E-2,5.007263733E-1
3.566822410E-1,-5.922700092E-2,2.531189919E-1,1.033969969E-1,2.797641875E-1
3.616788650E-1,1.805460006E-1,-1.946559995E-1,1.506679952E-1,3.052681793E-1
3.666754800E-1,2.475990057E-1,-4.329929948E-1,-2.153700031E-2,4.992514833E-1
3.716721110E-1,6.004700065E-2,-2.241690010E-1,-2.145829946E-1,3.160747457E-1
3.766687260E-1,-2.030020058E-1,2.053000033E-1,-2.210700065E-1,3.636342304E-1
3.816653510E-1,-2.597239912E-1,4.278590083E-1,-4.418100044E-2,5.024657634E-1
3.866619660E-1,-4.710400105E-2,2.098470032E-1,1.201879978E-1,2.463731042E-1
3.916585810E-1,2.168830037E-1,-2.292860001E-1,7.655999810E-2,3.247641305E-1
3.966551880E-1,2.587220073E-1,-4.304270148E-1,-1.003929973E-1,5.121359644E-1
4.016518040E-1,4.157600179E-2,-1.754850000E-1,-1.832789928E-1,2.571278638E-1
4.066484190E-1,-2.122049928E-1,2.566699982E-1,-1.180659980E-1,3.533412328E-1
4.116450350E-1,-2.440489978E-1,4.239169955E-1,1.184999943E-3,4.891491967E-1
4.166416500E-1,-3.715000115E-3,1.365209967E-1,6.259799749E-2,1.502341275E-1
4.216382650E-1,2.833789885E-1,-3.392010033E-1,-7.222000044E-3,4.420555724E-1
4.266348800E-1,1.255529970E-1,-2.812680006E-1,-1.695680022E-1,3.516085189E-1
4.316314910E-1,-2.777380049E-1,2.414720058E-1,-1.185870022E-1,3.866652377E-1
4.366281060E-1,5.748099834E-2,1.131479964E-1,9.186299890E-2,1.566695402E-1
4.416247110E-1,1.512670070E-1,-1.362439990E-1,-9.295800328E-2,2.237975090E-1
4.466213270E-1,-1.346130073E-1,6.733799726E-2,-1.143610030E-1,1.890330834E-1
4.516179430E-1,5.914400145E-2,2.229999984E-3,-8.941000327E-3,5.985755838E-2
4.566144970E-1,3.544999985E-3,-5.003000144E-3,-4.498000070E-2,4.539600752E-2
4.616111870E-1,-5.201200023E-2,4.105700180E-2,-5.454500020E-2,8.582588544E-2
4.666077460E-1,9.636300057E-2,-3.641700000E-2,-4.258599877E-2,1.114701443E-1
4.716043600E-1,-9.146700054E-2,4.096699879E-2,-4.984100163E-2,1.119313746E-1
4.766010530E-1,1.065099984E-2,-5.611000117E-3,-7.131700218E-2,7.232594223E-2
4.815975940E-1,8.859500289E-2,-3.830900043E-2,1.966799982E-2,9.850626512E-2
4.865942070E-1,-1.709900051E-1,6.546200067E-2,-8.574400097E-2,2.021753919E-1
